attack_type,attack_vector,system_affected,downtime_hours,records_compromised,detection_delay_minutes,security_level,operational_loss
Malware,USB,EHR,48,84515,188,High,9135069.0
Phishing,USB,EHR,39,65362,109,Medium,11218114.0
DDoS,USB,Billing,10,46757,77,Medium,6325050.0
DDoS,USB,Billing,1,98245,55,Low,16586823.0
Malware,Email,Billing,41,82962,122,Medium,11210381.0
Ransomware,Email,PACS,27,15513,197,Low,6075134.0
Ransomware,Network,PACS,6,97310,143,Medium,18321769.8
Malware,USB,Billing,37,47261,256,High,4050005.2499999995
Malware,Email,PACS,13,23224,126,Low,4896075.0
DDoS,Email,EHR,10,5534,235,Low,2236748.0
DDoS,Network,EHR,28,37277,127,High,4532192.0
Ransomware,Network,PACS,25,14140,100,Medium,4056742.0
DDoS,Email,PACS,16,85830,109,High,7579633.199999999
DDoS,USB,Billing,33,34674,172,High,3338151.0
Phishing,Network,Billing,32,73738,86,High,5264134.0
Malware,USB,Billing,32,36138,79,Low,7255247.0
Phishing,Email,EHR,3,82403,219,Low,16282482.0
Ransomware,Network,PACS,24,58353,120,Medium,12138684.799999999
DDoS,USB,Billing,19,45514,21,Medium,6467417.0
Malware,Email,EHR,1,56406,67,High,5147041.0
Ransomware,USB,PACS,6,58463,277,Low,15193161.0
Phishing,USB,EHR,17,20855,127,Low,5139451.0
Phishing,Network,EHR,18,61525,230,High,5764792.0
Malware,USB,EHR,33,7059,209,Low,3784331.0
Malware,Network,EHR,17,85605,141,High,8337979.999999999
Phishing,Email,Billing,13,74384,129,Low,11389935.0
DDoS,Email,Billing,9,73485,155,High,5679744.5
Ransomware,Email,Billing,31,24954,247,High,3350717.0
Ransomware,USB,Billing,43,70630,60,Medium,13594568.0
Malware,Network,Billing,17,47879,113,High,3661872.25
Phishing,Email,EHR,19,82377,14,Low,16967502.0
Malware,USB,PACS,42,88935,74,High,7911169.649999999
DDoS,Network,EHR,40,44989,276,Medium,9812246.999999998
Ransomware,Network,PACS,24,84646,241,Medium,17118283.2
DDoS,Network,PACS,36,39022,141,High,4254693.399999999
Ransomware,Network,PACS,7,63713,187,Medium,12291877.0
Ransomware,Email,Billing,2,41237,55,High,3976376.4999999995
Phishing,Email,EHR,2,71266,164,High,6109339.0
Ransomware,Network,PACS,11,34093,116,High,4126970.9
Ransomware,Email,PACS,26,4747,74,Low,3215559.8000000003
Ransomware,USB,Billing,7,11405,293,Medium,2444751.0
Phishing,Email,Billing,9,11910,183,Low,2297821.0
Phishing,Email,Billing,10,66979,199,Medium,7666435.0
Phishing,Email,PACS,46,70156,122,Low,13830456.600000001
DDoS,Email,Billing,15,21213,163,Medium,3408620.9999999995
Phishing,USB,Billing,17,17017,140,Low,3257524.0
Malware,Network,PACS,13,30058,160,High,2666335.3
Malware,Network,Billing,20,12558,68,Low,2995088.0
Ransomware,Email,Billing,7,3484,243,Medium,1116393.0
Malware,USB,EHR,15,45528,268,Medium,8088566.0
DDoS,Email,PACS,45,20354,187,High,2909754.8
Phishing,Email,PACS,46,66845,176,Low,13377176.200000001
Malware,USB,PACS,16,91963,31,Medium,12819129.4
Ransomware,USB,Billing,7,86339,244,Medium,14610998.0
DDoS,Network,Billing,15,69608,231,Low,12686909.0
Ransomware,USB,Billing,45,6508,277,Low,4662331.0
Phishing,Network,EHR,23,36990,260,High,3843458.9999999995
Ransomware,Email,Billing,35,18207,99,Medium,4729054.0
DDoS,Network,EHR,3,56321,110,High,5708457.999999999
Malware,USB,Billing,35,48395,53,Low,9212653.0
Malware,Email,PACS,12,49393,41,High,4097547.65
Ransomware,Network,PACS,46,56190,247,Low,17489611.6
Phishing,USB,Billing,19,65262,250,High,4583591.0
Ransomware,USB,EHR,22,39101,45,Low,13256828.0
DDoS,Email,Billing,15,34535,169,Medium,5018738.0
DDoS,USB,PACS,15,5719,152,Low,2137543.4
Ransomware,Email,EHR,2,64972,172,High,8344108.0
Ransomware,Email,EHR,19,11248,126,High,2182935.0
DDoS,USB,Billing,6,72972,246,High,5559587.0
Ransomware,USB,PACS,27,26081,81,Medium,6408739.2
Malware,USB,Billing,10,58946,241,Low,9889498.0
Malware,USB,Billing,23,82508,281,Medium,10622304.0
DDoS,Network,PACS,19,60119,274,Low,12894602.200000001
Malware,Email,PACS,13,33978,138,High,3008695.0999999996
Phishing,USB,Billing,33,23419,278,High,2187435.0
Phishing,Email,PACS,3,35993,165,Medium,4623184.2
DDoS,Network,PACS,21,93568,181,High,8414099.2
Phishing,USB,PACS,21,34975,140,Low,6883302.0
Malware,Email,Billing,43,78396,143,Medium,10818261.0
Ransomware,Email,EHR,26,90027,214,High,12453972.0
Ransomware,Email,PACS,20,82116,76,Medium,16296259.2
Phishing,Email,PACS,19,480,31,High,407594.39999999997
DDoS,Network,EHR,14,42243,238,Medium,8045037.0
Ransomware,Email,PACS,11,1100,240,High,577999.0
DDoS,Network,PACS,43,29180,256,Medium,6219952.8
DDoS,USB,Billing,23,17930,76,Low,4206017.0
Malware,Network,EHR,45,39139,78,Low,11091905.0
DDoS,USB,EHR,34,89578,9,Low,22326661.0
Phishing,Network,EHR,35,31914,175,Low,8354445.0
Malware,USB,PACS,35,4835,17,Medium,2038901.2
Malware,Network,Billing,14,58112,12,Low,9731010.0
DDoS,Email,EHR,19,2309,205,Low,2076499.0
Phishing,USB,EHR,44,6119,74,Low,3828860.0
Malware,Network,Billing,39,42062,64,Medium,6305864.0
Ransomware,Email,Billing,34,38840,257,Low,10974489.0
DDoS,Network,Billing,2,63362,127,Medium,8163371.0
DDoS,USB,EHR,5,38867,122,Medium,6888483.0
Phishing,USB,PACS,16,21308,177,Low,4444667.0
Ransomware,Email,PACS,48,870,176,High,1700319.5999999999
DDoS,Network,PACS,4,83136,176,Medium,12190459.6
Malware,Email,EHR,33,78861,259,High,8196846.999999999
Ransomware,USB,PACS,16,21394,120,High,2931354.4
Phishing,Email,PACS,16,65202,151,High,5074046.199999999
Phishing,Network,PACS,48,97548,77,Medium,13803826.0
DDoS,Email,Billing,16,60549,88,Medium,8257250.0
Phishing,Email,PACS,7,39894,115,Medium,5250966.6
Phishing,USB,EHR,1,4247,172,Medium,756286.0
Phishing,USB,Billing,4,63729,189,High,4149627.9999999995
DDoS,Email,EHR,44,8274,93,High,2118583.0
DDoS,Email,EHR,16,81954,92,Medium,14670431.0
Ransomware,Email,Billing,42,30174,2,High,4010611.9999999995
Malware,Network,Billing,44,21654,270,High,2480423.5
Malware,USB,Billing,44,91215,223,Low,16497214.0
Ransomware,USB,Billing,36,75284,65,High,8200410.999999999
Phishing,Email,EHR,33,19477,191,Low,5845480.0
DDoS,Network,Billing,39,64546,151,High,5640731.0
Ransomware,Email,Billing,4,78678,28,High,7573628.999999999
DDoS,USB,PACS,29,17870,113,Medium,3914684.3999999994
DDoS,Email,Billing,21,23924,82,Medium,3852347.0
Phishing,USB,EHR,33,88923,174,Medium,14362079.0
Ransomware,Email,EHR,5,35949,56,Medium,8188587.0
Ransomware,USB,PACS,21,41589,157,High,5261309.1
DDoS,Email,PACS,20,3109,130,Medium,1461940.2
Ransomware,Network,PACS,2,18379,291,High,2169668.5
Malware,Email,EHR,30,73017,133,Medium,12938905.0
Malware,Network,Billing,47,75982,265,Low,14284041.0
Ransomware,Network,PACS,15,66238,266,High,7737073.399999999
Phishing,USB,PACS,5,68514,2,Low,11386489.200000001
Ransomware,Network,Billing,37,51821,126,High,6043962.5
Malware,USB,PACS,5,96439,268,Low,17646219.6
Malware,Network,Billing,48,73325,217,Medium,10433288.0
Phishing,USB,PACS,9,46746,297,High,3706335.1999999997
Phishing,USB,EHR,3,25251,144,High,2259635.0
Ransomware,Network,EHR,2,26664,95,Low,8056697.0
Ransomware,Network,PACS,34,58969,175,Medium,12851148.4
Ransomware,USB,Billing,36,84888,258,Medium,15749092.0
Ransomware,USB,PACS,22,21199,265,Low,7153797.2
Ransomware,Email,EHR,21,23322,299,Medium,6756527.0
Ransomware,Network,PACS,37,10896,300,Low,5871236.800000001
DDoS,Network,PACS,46,53250,185,Medium,9717813.0
Phishing,USB,EHR,43,51123,115,Low,12429100.0
Malware,Network,EHR,27,35442,67,Low,9163249.0
Phishing,Network,Billing,43,36737,184,Low,7320308.0
Ransomware,Network,PACS,36,62650,239,Low,18369121.2
Phishing,Network,Billing,42,67360,66,Low,11553697.0
Phishing,Network,Billing,23,20184,62,High,1776546.0
Phishing,Network,EHR,28,31250,229,Medium,5917060.0
DDoS,Email,PACS,32,60423,68,High,5901333.3
Phishing,USB,Billing,31,93175,235,Low,14975260.0
Malware,Network,Billing,8,87812,239,Low,14274824.0
DDoS,USB,Billing,20,34799,213,High,3085101.5
Malware,USB,Billing,24,97911,244,High,7245740.75
Phishing,USB,EHR,29,41751,207,Medium,7413291.0
Ransomware,USB,Billing,30,51402,227,High,5822805.0
Phishing,Email,PACS,20,42692,131,Medium,6022487.2
DDoS,Network,Billing,42,32009,175,High,3400242.5
Phishing,Network,EHR,28,95859,17,High,8770692.0
Ransomware,USB,EHR,18,11552,174,Medium,3887024.0
Malware,Email,EHR,2,84963,235,High,7899283.999999999
Ransomware,USB,EHR,45,75503,145,High,11367785.0
Ransomware,USB,Billing,6,47113,279,High,4777363.5
Phishing,Email,Billing,3,6225,99,High,464924.99999999994
Phishing,Email,PACS,41,3693,105,Medium,2056607.2
Ransomware,USB,EHR,23,96030,87,Medium,22333028.0
Phishing,Network,PACS,10,94618,272,High,7096649.0
Malware,Network,PACS,18,80020,295,High,6720244.5
Phishing,Network,PACS,26,91285,228,Medium,12316131.2
DDoS,Network,PACS,32,38610,181,Medium,7004661.8
DDoS,Email,PACS,45,65177,269,Medium,11462486.799999999
Phishing,USB,Billing,21,50306,276,Low,8437076.0
Ransomware,Network,Billing,1,1807,176,High,287397.5
DDoS,Network,EHR,33,12174,152,Medium,3834763.0
DDoS,Network,PACS,17,59708,27,High,5433967.0
DDoS,Email,EHR,30,16988,59,Low,5851785.0
DDoS,USB,PACS,25,87582,25,High,7912790.6
Ransomware,USB,EHR,14,19828,9,High,3080967.0
DDoS,Email,Billing,10,83801,197,Low,14734937.0
DDoS,Email,Billing,33,70495,13,Medium,10103958.0
Ransomware,Email,EHR,32,13496,44,Medium,5010699.0
DDoS,USB,Billing,18,34797,52,High,3003324.5
DDoS,Network,PACS,15,62644,271,Low,13080692.0
Ransomware,USB,Billing,8,79281,90,High,7780194.499999999
Phishing,Email,PACS,48,70999,256,High,6254786.0
Phishing,Email,EHR,3,54124,53,Medium,7948349.0
Malware,Network,EHR,48,62910,246,Low,16365154.0
Ransomware,Email,PACS,10,62339,80,High,7089944.899999999
Phishing,Email,Billing,28,69601,289,High,5017171.0
Malware,Network,Billing,28,51042,250,Medium,7113715.0
Malware,Network,PACS,24,46969,247,Medium,7370108.6
Phishing,USB,PACS,2,12582,150,Low,2317275.4
DDoS,Network,EHR,39,31658,273,Medium,7600592.0
Ransomware,Email,EHR,48,37372,198,Medium,11466575.0
Phishing,Network,Billing,1,18204,263,High,1310166.0
Ransomware,USB,PACS,25,63775,103,High,7671306.3
Phishing,Network,PACS,16,9845,132,High,1098619.7999999998
Ransomware,USB,PACS,25,72666,126,Medium,14855281.2
Malware,Email,Billing,34,72350,223,Low,13038843.0
Ransomware,USB,EHR,3,97254,80,Medium,21267079.0
DDoS,Email,Billing,28,41117,30,Low,8299579.0
Malware,Email,PACS,27,98359,55,Low,18865842.2
DDoS,Network,EHR,35,85979,129,Low,21762426.0
Malware,USB,Billing,30,41799,285,High,3623938.25
Ransomware,USB,PACS,22,38152,129,Low,11103038.8
DDoS,Email,Billing,47,60545,281,Medium,9652821.0
Ransomware,USB,Billing,16,48435,275,Low,11837012.0
Ransomware,Network,EHR,14,28391,17,Medium,7026974.0
Malware,Network,PACS,22,75484,175,Low,14696253.200000001
Ransomware,Network,Billing,38,56089,193,Low,14781831.0
Ransomware,Email,EHR,2,25674,121,Low,7737560.0
DDoS,Email,PACS,36,84048,299,Low,18403049.8
Ransomware,Network,PACS,30,67264,272,High,8390177.6
Malware,USB,Billing,23,45964,59,Low,8349202.0
Ransomware,USB,PACS,34,35563,124,Low,11402431.600000001
Malware,Email,Billing,9,85854,138,Medium,10432352.0
Ransomware,Network,EHR,3,49969,120,Medium,11109165.0
Malware,Network,Billing,37,94869,9,Low,16524014.0
Ransomware,Email,EHR,20,76054,19,Medium,17759108.0
DDoS,Network,EHR,21,20974,183,Low,6328451.0
Phishing,Network,PACS,33,29436,212,Low,6671623.600000001
DDoS,Network,Billing,2,86070,205,Medium,11069710.0
DDoS,USB,Billing,4,20492,136,Medium,2857745.0
Ransomware,USB,EHR,3,23369,291,Low,7449316.0
Malware,USB,Billing,35,94660,95,Low,16466923.0
Ransomware,Network,PACS,10,39950,170,Low,10805326.0
Phishing,Network,PACS,46,70518,195,High,6075134.199999999
Ransomware,USB,PACS,45,37218,63,Low,12464377.8
Phishing,USB,EHR,7,56796,300,Low,11680130.0
DDoS,Network,PACS,39,69775,51,High,6841071.3
Phishing,Email,EHR,15,6811,158,High,1077707.0
DDoS,USB,Billing,20,81857,103,High,6520813.5
Ransomware,USB,Billing,44,7079,80,Low,4524359.0
Malware,Email,Billing,44,69695,286,Low,13198340.0
Phishing,Email,EHR,35,25729,182,High,3101275.0
Ransomware,Network,Billing,32,92499,191,High,9783766.5
DDoS,USB,PACS,29,71876,158,Medium,11671167.2
DDoS,USB,EHR,4,75894,109,Low,17402384.0
Phishing,Network,EHR,32,32745,226,High,3695686.9999999995
Ransomware,Network,EHR,35,10109,145,Low,6147404.0
DDoS,Network,EHR,2,87680,232,Low,20062428.0
Ransomware,USB,PACS,24,19577,134,Medium,5027421.6
DDoS,Email,PACS,28,76019,27,Low,16092162.4
Phishing,Email,EHR,24,49765,65,High,4825559.0
Ransomware,USB,EHR,37,81589,271,High,11841951.0
Malware,Network,EHR,21,94344,74,Medium,15740529.0
DDoS,Network,Billing,37,23331,193,High,2620117.5
Ransomware,Email,PACS,21,84892,48,Medium,16812231.0
Phishing,Email,Billing,4,31035,249,Medium,3641736.0
DDoS,Email,PACS,17,84048,40,Low,16988270.2
Malware,Network,PACS,36,81436,293,Medium,12426745.4
DDoS,Network,EHR,12,56445,33,Medium,10082659.0
DDoS,USB,PACS,48,15950,42,Medium,4400482.6
Ransomware,USB,PACS,36,33769,215,High,4876849.899999999
DDoS,USB,EHR,30,86129,85,Medium,16089423.0
Malware,USB,PACS,48,9148,116,High,1881712.4
Malware,USB,PACS,19,64973,95,Medium,9458015.799999999
Malware,Email,PACS,28,58964,256,High,5324776.0
Phishing,Email,EHR,17,99481,62,Medium,15154861.0
Phishing,USB,Billing,16,90021,85,Medium,10245973.0
Ransomware,USB,Billing,37,75812,206,High,8372096.999999999
Ransomware,Network,PACS,9,34714,93,High,4056260.1999999997
Ransomware,Network,PACS,47,10018,151,Medium,4585151.399999999
Ransomware,Network,Billing,19,83715,165,Medium,14606039.0
Phishing,USB,PACS,40,57032,82,Low,11331841.8
Ransomware,USB,EHR,6,70714,201,High,9301235.0
Ransomware,Network,Billing,45,26604,127,Medium,6586786.0
Ransomware,Network,PACS,25,89716,25,Low,23872106.8
Ransomware,USB,EHR,48,79317,227,Medium,20510856.0
Malware,USB,PACS,40,46989,133,Medium,7891932.199999999
DDoS,Email,Billing,44,997,296,Low,2640408.0
Malware,Network,PACS,13,6882,245,High,971340.2
DDoS,Network,EHR,16,17433,265,Medium,4013863.0
DDoS,USB,Billing,35,34953,210,Low,7852727.0
Phishing,Email,EHR,25,7660,284,Medium,2406991.0
Malware,USB,PACS,24,56199,104,Low,11303618.4
Phishing,Email,PACS,15,90631,104,Low,15645490.0
Ransomware,Network,Billing,32,11160,69,High,2046815.9999999998
Phishing,Email,Billing,19,27585,54,Medium,3653824.0
Ransomware,Network,PACS,17,98099,112,High,11079144.1
DDoS,USB,EHR,12,24509,35,Medium,4728679.999999999
DDoS,Network,Billing,40,99507,173,Medium,14174003.999999998
Malware,Network,EHR,36,98299,56,Medium,17054071.0
Phishing,Network,PACS,15,49225,81,Low,8852968.200000001
DDoS,USB,PACS,26,25686,231,Medium,5004905.6
Phishing,USB,EHR,7,22055,162,Medium,3638691.0
Phishing,USB,Billing,4,56056,136,High,3664802.0
Ransomware,Email,EHR,29,45193,160,Low,15826868.0
Phishing,USB,EHR,13,42523,276,Low,9197659.0
DDoS,Email,PACS,21,65833,127,Medium,10434176.0
DDoS,Email,EHR,5,55632,79,Low,12940549.0
DDoS,Email,Billing,11,3407,219,Low,1384415.0
DDoS,USB,PACS,2,92127,220,Low,17859867.8
Phishing,Email,EHR,47,17648,105,Low,6265936.0
Ransomware,USB,PACS,39,40056,226,Medium,9701761.2
Ransomware,Network,EHR,35,87261,17,High,12352876.0
DDoS,Network,EHR,10,67432,113,Medium,11929162.0
Ransomware,Network,Billing,5,68664,63,Medium,11456798.0
Phishing,Network,Billing,44,17394,149,Medium,3394228.0
Phishing,Network,PACS,22,72969,30,Medium,9756234.6
Malware,Email,PACS,37,71652,261,Low,14952928.4
Phishing,Network,EHR,8,20349,248,High,2083588.9999999998
DDoS,USB,Billing,27,59151,12,High,4988461.5
DDoS,Email,Billing,40,93191,2,Low,17638146.999999996
DDoS,Network,EHR,3,76066,300,Medium,13248185.0
Malware,Email,EHR,24,21347,227,Medium,4701757.0
Ransomware,USB,PACS,38,79111,45,Medium,16708536.6
Phishing,Email,EHR,41,33434,61,Low,8851298.0
Malware,Network,EHR,40,59328,229,Low,15115659.0
Ransomware,Email,PACS,40,92968,214,High,11354845.2
Malware,Network,PACS,17,82928,121,High,6911924.899999999
Malware,USB,PACS,36,25538,147,High,2898031.0
DDoS,Email,EHR,43,20998,92,Low,7750969.0
DDoS,USB,PACS,46,72397,145,Low,16609697.8
Malware,Network,Billing,15,55688,275,Low,9642091.0
DDoS,Email,EHR,11,12951,183,High,1729883.0
DDoS,USB,EHR,12,54983,35,Low,13203374.0
Phishing,Network,Billing,17,65985,272,Low,10483169.0
Malware,Email,EHR,20,93466,219,Low,20999555.0
Malware,Network,EHR,35,92181,178,Medium,16232445.0
DDoS,Network,Billing,25,69576,2,High,5658017.0
DDoS,Network,PACS,1,28144,158,Medium,4199055.6
Phishing,Network,PACS,26,79312,195,High,6312053.8
Malware,Email,PACS,25,98569,26,Medium,14061628.0
Ransomware,Network,EHR,41,75644,142,Medium,19221494.0
Phishing,USB,Billing,27,84033,213,Low,13497924.0
DDoS,Email,PACS,30,92047,288,Medium,14662683.0
Ransomware,Network,EHR,23,27062,287,High,4508684.0
Malware,Network,EHR,27,69279,146,Medium,12229246.0
Phishing,USB,EHR,33,49614,44,High,5000643.0
Malware,USB,Billing,9,34117,69,Low,5780014.0
Malware,Network,Billing,8,67849,295,Low,11272719.0
Phishing,Network,PACS,7,86348,269,Medium,11051283.799999999
DDoS,Email,EHR,45,65498,42,High,7804824.999999999
Phishing,USB,PACS,11,20424,40,Low,3873888.8000000003
Malware,USB,EHR,35,86356,289,Medium,15408877.0
Phishing,Email,PACS,26,40061,253,Low,8054734.800000001
DDoS,USB,EHR,13,78846,69,Medium,13970354.0
Malware,Network,EHR,7,55342,7,Medium,9010502.0
DDoS,Email,Billing,13,81950,65,High,6345740.0
Malware,Email,EHR,17,23033,116,Medium,4521273.0
Phishing,Network,PACS,1,1850,231,Medium,437224.39999999997
Ransomware,Network,EHR,36,98099,229,High,13918373.0
DDoS,Network,EHR,16,15517,16,Medium,3381553.0
DDoS,Network,PACS,18,42323,168,High,4049190.3
Phishing,Network,Billing,33,68520,229,Medium,8603924.0
Phishing,USB,EHR,40,97147,129,Low,21095806.0
Ransomware,Network,PACS,3,51526,280,High,5812498.6
DDoS,Email,Billing,25,51201,224,Low,10100680.0
DDoS,Network,EHR,42,33242,3,High,4480912.0
Phishing,Network,Billing,36,9040,206,Medium,2322605.0
DDoS,Email,PACS,16,54003,9,Low,11237336.799999999
Phishing,Email,PACS,33,47751,101,Medium,7100777.8
Phishing,Email,Billing,26,59795,56,High,4293494.0
Malware,USB,EHR,40,43860,197,Low,11818876.0
Phishing,Network,PACS,40,4000,205,Medium,2072618.0
Ransomware,Network,Billing,41,55369,219,Low,14868794.0
Malware,USB,Billing,10,95870,258,Low,15713769.0
Phishing,Network,PACS,30,26939,162,Low,5998647.2
DDoS,USB,Billing,35,35012,175,Medium,5881519.0
Phishing,USB,PACS,5,44337,232,Low,7738383.800000001
Ransomware,USB,PACS,33,65672,179,High,8169981.6
Phishing,USB,Billing,1,27332,207,Low,4146796.0
Phishing,USB,Billing,43,30968,71,Medium,4754088.0
Malware,Email,EHR,42,9642,4,Low,4680715.0
Ransomware,Network,EHR,5,55577,140,Medium,12524160.0
DDoS,Network,EHR,23,68471,140,High,7491572.999999999
Malware,Network,PACS,12,59837,79,Low,11293293.8
Malware,USB,PACS,42,46391,223,Low,10657504.200000001
Ransomware,USB,PACS,43,80647,242,Low,23304721.200000003
Phishing,Email,PACS,29,2601,135,Low,1991274.2000000002
Phishing,USB,PACS,7,94314,127,Medium,11853386.4
Phishing,Email,PACS,40,77419,206,Medium,11069367.0
Phishing,Network,PACS,44,84481,254,Medium,12114067.0
Malware,USB,Billing,26,21727,137,Low,4723153.0
Phishing,USB,EHR,31,16155,134,Low,4992585.0
DDoS,USB,Billing,16,81416,246,Medium,11087039.0
Malware,USB,PACS,5,84330,25,High,6680164.0
DDoS,Email,EHR,47,6792,74,High,2060790.9999999998
Phishing,USB,EHR,16,60781,139,Medium,9540461.0
DDoS,Network,EHR,26,15242,191,Low,5453072.0
Phishing,Network,Billing,37,767,141,Low,1811666.0
Ransomware,USB,Billing,25,60415,35,High,6392462.5
DDoS,USB,Billing,13,89834,82,Medium,11887115.0
Phishing,Email,EHR,24,31810,3,Medium,5578688.0
Ransomware,Network,Billing,29,25961,139,High,3384772.5
DDoS,Email,PACS,6,3396,101,Medium,850692.6
Malware,Email,EHR,35,54326,113,Low,13649823.0
Ransomware,USB,EHR,44,97550,40,Low,31993204.0
Ransomware,Email,EHR,25,96597,52,High,13130611.0
Ransomware,Email,EHR,28,2461,187,Low,3491409.0
Phishing,Email,EHR,15,39191,79,Low,8477186.0
Ransomware,Email,Billing,6,55998,255,Medium,9609510.0
Phishing,Email,PACS,39,34015,76,Low,7514791.2
Phishing,Email,PACS,5,13214,13,Medium,1798589.8
Ransomware,Email,Billing,24,42062,200,Low,10891074.0
Malware,Email,EHR,44,1297,43,Medium,2254589.0
Phishing,Network,EHR,31,31249,156,Medium,6011884.0
Malware,Network,EHR,4,76201,135,High,7132570.0
Ransomware,Network,EHR,46,90791,77,Low,30221235.0
DDoS,USB,Billing,15,40024,94,High,3328007.0
Malware,Network,PACS,22,12226,153,Low,3454679.2
DDoS,USB,EHR,18,52018,185,High,5751279.999999999
DDoS,Network,Billing,42,20651,158,Low,5747215.0
Malware,Network,PACS,6,42503,79,High,3476446.9499999997
Ransomware,USB,PACS,24,52176,272,Low,14951862.4
DDoS,Network,Billing,32,86742,84,High,7101635.0
Ransomware,Email,EHR,11,53617,179,High,7350704.0
DDoS,Email,EHR,44,40127,128,Low,12150860.0
Ransomware,Email,Billing,45,45978,38,Low,12871483.0
Ransomware,Email,PACS,19,20698,194,Medium,5055852.2
Malware,USB,PACS,34,2929,72,High,1061497.3499999999
Malware,USB,PACS,37,36198,44,High,3674255.6999999997
Malware,Email,EHR,7,97853,153,Medium,15703548.0
DDoS,USB,Billing,14,21002,158,High,1956138.9999999998
DDoS,Network,PACS,23,59991,171,High,5697831.1
DDoS,Network,EHR,46,18570,152,Medium,5603790.0
Ransomware,USB,PACS,24,43870,72,High,5546884.199999999
Ransomware,USB,EHR,7,91999,278,Medium,20672557.0
Phishing,Email,EHR,36,49412,167,Medium,8795789.0
DDoS,Email,Billing,25,32666,24,Medium,5102332.0
Malware,Network,Billing,43,76079,40,High,6128496.75
Phishing,Email,PACS,7,55439,237,High,4246958.399999999
Malware,Email,EHR,8,744,281,Low,973326.0
DDoS,Network,EHR,43,30904,14,High,4342820.0
Ransomware,USB,Billing,39,65624,169,High,7425662.999999999
Ransomware,USB,Billing,11,30168,147,Low,7466457.0
DDoS,Email,Billing,2,98955,293,Medium,12732162.0
Malware,USB,Billing,27,37406,199,Medium,5487582.0
DDoS,USB,Billing,1,20958,146,High,1658759.0
DDoS,Network,PACS,48,49840,53,Medium,9240946.4
Malware,USB,Billing,23,99619,174,Medium,12579558.0
Phishing,Email,EHR,29,2547,277,High,1073507.0
Ransomware,USB,Billing,19,39933,187,High,4381646.5
Malware,Network,EHR,19,17260,39,Medium,3613530.0
Phishing,Email,EHR,3,76074,222,Medium,11267687.0
Phishing,Network,PACS,34,3608,41,High,971144.6
Malware,USB,PACS,25,78202,117,Medium,11423025.4
Malware,Email,Billing,24,62675,235,Low,11110975.0
Malware,Email,EHR,16,34764,185,Low,8479524.0
Ransomware,Network,Billing,44,22719,192,High,3511477.5
Malware,Email,PACS,30,43112,241,Low,9445969.4
Ransomware,Email,Billing,39,10514,262,Medium,3815380.0
Malware,Email,Billing,20,79134,170,Medium,10097698.0
Ransomware,USB,EHR,29,89508,65,Low,28410122.0
DDoS,Network,PACS,44,3276,54,Low,3236024.0
Phishing,USB,EHR,23,42187,267,Medium,7309774.0
Ransomware,Network,EHR,13,8762,17,Low,3715368.0
Phishing,Email,EHR,21,54188,6,Low,11591611.0
DDoS,Network,EHR,15,98762,153,Low,23363539.0
Phishing,USB,Billing,7,62655,168,Medium,7077276.0
Phishing,USB,EHR,19,90258,87,Low,18520671.0
DDoS,Network,PACS,34,24899,79,Low,6765304.2
DDoS,USB,Billing,6,1669,209,High,370439.5
Malware,Network,PACS,27,23723,51,High,2445780.15
DDoS,USB,EHR,39,81001,172,Medium,15779711.0
Malware,USB,PACS,6,32062,279,Medium,4718309.6
DDoS,Email,EHR,27,72620,254,High,8019113.999999999
DDoS,USB,PACS,17,49554,297,High,4655356.799999999
Ransomware,Email,EHR,4,18238,89,High,2535882.0
DDoS,USB,Billing,1,44154,261,Medium,5795868.0
Phishing,Email,PACS,13,18986,181,High,1673155.7999999998
Malware,Email,PACS,23,71935,87,Low,13992762.600000001
Ransomware,USB,Billing,27,19054,273,Medium,4698187.0
Phishing,Network,EHR,36,43201,76,High,4554535.0
Malware,USB,Billing,35,10114,209,Low,3421940.0
Phishing,USB,Billing,48,24719,213,Low,5793038.0
Ransomware,Email,PACS,41,99834,157,High,12064195.6
DDoS,USB,EHR,5,96481,178,Medium,16665206.0
DDoS,USB,Billing,47,82559,34,High,7100358.5
DDoS,Network,EHR,5,98334,163,Low,22625284.0
Ransomware,USB,Billing,33,38401,12,Medium,7885715.0
Malware,USB,Billing,10,15158,211,Medium,2230079.0
DDoS,USB,PACS,3,58330,67,Medium,8554258.599999998
Ransomware,USB,PACS,18,44866,212,Low,12572719.4
DDoS,Network,EHR,32,74773,223,Low,19214301.0
Malware,Network,EHR,17,43801,248,Low,10450903.0
Ransomware,Network,EHR,5,74075,131,Medium,16475272.0
Phishing,Email,Billing,19,10278,73,Medium,1767098.0
Phishing,Network,Billing,5,8265,107,Medium,1112952.0
Malware,USB,Billing,14,46101,207,Low,8071589.0
Ransomware,Email,PACS,32,41029,143,High,5534638.699999999
Phishing,Network,Billing,19,95279,122,Medium,10994860.0
DDoS,Network,Billing,16,75868,146,High,5979397.0
DDoS,Email,PACS,19,99479,124,Medium,15096717.399999997
Phishing,USB,PACS,26,95429,181,Low,17020182.0
Ransomware,Network,Billing,18,34156,274,Low,8934797.0
Phishing,Network,EHR,44,69444,88,Medium,11962306.0
Phishing,USB,PACS,44,67035,91,High,5721927.399999999
Phishing,Network,PACS,45,1945,244,High,1170099.5999999999
Malware,Email,PACS,33,33654,5,Medium,5745960.399999999
Ransomware,USB,PACS,25,15674,215,Medium,4501198.399999999
